Word,TimesUsed
lovers,2.0
lovers,2.0
aarg,0.0
fur,1.0
fur,1.0
margs,0.0
patg,0.0
prom,1.0
prom,1.0
shopping,0.0
spoon,1.0
spoon,1.0
after,1.0
arriba,1.0
behold,1.0
arriba,1.0
behold,1.0
gac,0.0
brothers,1.0
girlypop,0.0
brothers,1.0
girlypop,0.0
goyank,0.0
hbd,2.0
hbd,2.0
mykid,0.0
napscanthang,1.0
napscanthang,1.0
rizz,0.0
spoopy,0.0
teampee,0.0
watg,0.0
zaza,0.0
drunktype,0.0
fortnite,0.0
fuckit,0.0
gobills,0.0
gobills,0.0
hottub,0.0
juice,0.0
naked,0.0
operator,0.0
operator,0.0
showerbeer,0.0
souptime,0.0
souptime,0.0
egg,0.0
hatg,0.0
chef,0.0
blue,0.0
munch,2.0
munch,2.0
thief,1.0
besties,0.0
hotsauce,0.0
hotsauce,0.0
caillou,0.0
sleepy,0.0
sus,0.0
fearless,0.0
eep,0.0
eep,0.0
ready,0.0
farmer,0.0
palmtree,0.0
farmer,0.0
palmtree,0.0
eatg,0.0
teli,2.0
drop,0.0
deck,1.0
twerk,3.0