User,MessageCount
superice0,38.0
ThugginBot#8671,54.0
napasaurus.,41.0
penguino3,5.0
ru.yy,2.0
kumquat_k,1.0
jetpackzombie,19.0
.scoober,8.0
thomasgraham.,8.0
evan52303,13.0
juliab6245,6.0
brokenthunder,13.0
noshareif,11.0
darkdare0926,10.0
supremebrick8,32.0
ninja_warriorman,13.0
maple15,7.0
flimbogod,11.0
doordasher03,5.0
voidld,14.0
dumby26,6.0
garbonzbeans,3.0
em.dfranc,1.0
singularfeeb,2.0
darthhebrew69,5.0
maradona_7.,5.0
nota_line,35.0
devinhendricks,8.0
nangulo,13.0
mic.ae.la,1.0
bchen8935,4.0
buffalbro.,2.0
natedeegan,5.0
tera4604,2.0
raven__13,2.0
troutscoper,7.0
nokken29,8.0
rappster,1.0
blazinburito,3.0
callmesanta13,2.0
michaelwarsaw,2.0
cmattos27,1.0
liana_921,2.0
log01,2.0
ljtaber1,5.0
lukegentry.,1.0
dogstown,3.0
super_rupert,2.0
trbolt,1.0
calebbarton_,1.0
tdmeyer12,1.0
seano32204,3.0
eliasmcquade,1.0
retronetex,2.0
xorkax,1.0
human.lag,9.0
coltonzack,1.0